2015-16 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
South Shore Regional Vocational Technical,08730000,      61.9,  98.4,     153, 100.0,  10.2 to 1
Southampton,02750000,      36.5, 100.0,     159, 100.0,  14.4 to 1
Southborough,02760000,     109.6, 100.0,     545,  99.4,  11.9 to 1
Southbridge,02770000,     166.3,  99.8,     778, 100.0,  13.1 to 1
Southeastern Regional Vocational Technical,08720000,     113.1,  97.3,     308, 100.0,  12.2 to 1
Southern Berkshire,07650000,      78.5,  98.9,     451,  99.8,   9.7 to 1
Southern Worcester County Regional Vocational Technical,08760000,     113.0,  97.1,     333, 100.0,   9.8 to 1
Southwick-Tolland-Granville Regional School District,07660000,     139.3,  98.7,     641,  98.8,  11.7 to 1
Spencer-E Brookfield,07670000,     111.6,  99.1,     621, 100.0,  14.2 to 1
Springfield,02810000,"   2,040.2",  93.5,"  12,363",  88.8,  12.5 to 1
Springfield Preparatory Charter School (District),35100000,       6.7,  50.0,      20,  50.0,  16.2 to 1
Stoneham,02840000,     186.7, 100.0,     922, 100.0,  12.6 to 1
Stoughton,02850000,     299.2,  99.5,"   1,455",  99.2,  12.1 to 1
Sturbridge,02870000,      68.6, 100.0,     285, 100.0,  14.1 to 1
Sturgis Charter Public (District),04890000,      85.8,  49.9,     393, 100.0,   9.4 to 1
Sudbury,02880000,     204.5,  99.5,     997, 100.0,  13.8 to 1
Sunderland,02890000,      18.5,  94.6,     104, 100.0,  12.5 to 1
Sutton,02900000,     100.5, 100.0,     453, 100.0,  14.6 to 1
Swampscott,02910000,     187.1,  97.9,     956,  98.3,  12.0 to 1
Swansea,02920000,     160.2, 100.0,"   1,121", 100.0,  12.7 to 1
TEC Connections Academy Commonwealth Virtual School District,39020000,      25.1,  92.1,     398,  81.2,  32.2 to 1
Tantasqua,07700000,     135.2,  99.3,     892, 100.0,  13.3 to 1
Taunton,02930000,     523.2,  99.4,"   2,519",  99.7,  15.4 to 1
Tewksbury,02950000,     252.5, 100.0,"   1,163",  99.6,  14.1 to 1
Tisbury,02960000,      37.1, 100.0,     188,  98.9,   8.8 to 1
Topsfield,02980000,      51.6, 100.0,     281, 100.0,  12.5 to 1
Tri County Regional Vocational Technical,08780000,      87.9,  95.6,     250, 100.0,  11.5 to 1
Triton,07730000,     208.7,  99.2,     939,  97.8,  12.9 to 1
Truro,03000000,      15.9, 100.0,      73, 100.0,   7.5 to 1
Tyngsborough,03010000,     129.6, 100.0,     831,  98.7,  13.3 to 1
UP Academy Charter School of Boston (District),04800000,      41.4,  90.8,     101,  73.3,  11.3 to 1
UP Academy Charter School of Dorchester (District),35050000,      52.5,  94.3,     140,  96.4,  12.8 to 1
Up-Island Regional,07740000,      43.8, 100.0,     163,  96.9,   8.6 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      68.4,  96.9,     139, 100.0,  10.3 to 1
Uxbridge,03040000,     124.8, 100.0,     560,  98.8,  15.2 to 1
Veritas Preparatory Charter School (District),04980000,      26.0,  46.2,      65,  58.5,  11.8 to 1
Wachusett,07750000,     457.8, 100.0,"   2,286", 100.0,  16.0 to 1
Wakefield,03050000,     267.0,  99.6,"   1,129",  97.9,  13.1 to 1
Wales,03060000,       9.9, 100.0,      46, 100.0,  17.1 to 1
Walpole,03070000,     280.8,  99.6,"   1,259", 100.0,  13.9 to 1
Waltham,03080000,     462.1, 100.0,"   2,290", 100.0,  11.6 to 1
Ware,03090000,      91.6,  98.9,     402,  96.0,  13.9 to 1
Wareham,03100000,     199.1,  98.3,"   1,002",  96.5,  12.6 to 1
Watertown,03140000,     243.8,  98.3,"   1,008",  98.6,  10.5 to 1
Wayland,03150000,     207.8,  99.1,"   1,056",  99.9,  12.8 to 1
Webster,03160000,     127.2,  99.2,     542,  98.5,  14.9 to 1
Wellesley,03170000,     370.8,  98.6,"   1,920",  98.6,  13.7 to 1
Wellfleet,03180000,      16.4, 100.0,      51, 100.0,   6.9 to 1
West Boylston,03220000,      79.9, 100.0,     395, 100.0,  11.4 to 1
West Bridgewater,03230000,      90.9, 100.0,     502,  89.6,  14.5 to 1
West Springfield,03320000,     297.9, 100.0,"   1,538",  99.3,  13.4 to 1
Westborough,03210000,     292.4,  99.3,"   1,273",  99.0,  12.6 to 1
Westfield,03250000,     431.2,  98.7,"   1,816",  99.4,  12.9 to 1
Westford,03260000,     358.4, 100.0,"   1,748",  99.9,  14.3 to 1
Westhampton,03270000,      11.9,  91.6,      47, 100.0,  11.7 to 1
Weston,03300000,     194.5,  99.1,     948,  90.9,  11.2 to 1
Westport,03310000,     110.6,  98.1,     611,  96.2,  13.7 to 1
Westwood,03350000,     233.8,  99.0,"   1,152",  99.7,  13.5 to 1
Weymouth,03360000,     422.2,  99.8,"   2,081",  97.1,  15.5 to 1
Whately,03370000,       8.1, 100.0,      61, 100.0,  16.2 to 1
Whitman-Hanson,07800000,     234.5, 100.0,"   1,385",  97.8,  17.3 to 1
Whittier Regional Vocational Technical,08850000,     111.8,  99.1,     459, 100.0,  12.0 to 1
Williamsburg,03400000,      17.2, 100.0,      62, 100.0,   9.6 to 1
Williamstown,03410000,      37.0,  97.3,     183,  95.1,  12.2 to 1
Wilmington,03420000,     268.5,  99.4,"   1,260",  99.7,  12.6 to 1
Winchendon,03430000,      94.0, 100.0,     434,  99.8,  13.7 to 1
Winchester,03440000,     334.4,  99.6,"   1,912",  99.7,  13.7 to 1
Winthrop,03460000,     147.3, 100.0,     698,  97.9,  12.8 to 1
Woburn,03470000,     361.8, 100.0,"   1,928",  99.5,  13.0 to 1
Worcester,03480000,"   1,763.0",  97.5,"   7,031",  97.9,  14.2 to 1
Worthington,03490000,       6.4, 100.0,      47, 100.0,   7.7 to 1
Wrentham,03500000,      77.3, 100.0,     276, 100.0,  13.7 to 1
State Totals,00000000,"  72,384.1",  97.4," 348,472",  96.3,  13.2 to 1
